Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,Toxicos
305,1.63101604278075,2944,30,0.434193506300299,0
57,3.5625,2639,2,21.5450907971684,0
196,2.04166666666667,2582,17,0.601871918222665,0
221,3.56451612903226,2386,16,0.581932229098012,0
208,2.53658536585366,2165,12,0.962651154194165,0
137,2.79591836734694,1957,17,0.899914779742027,0
94,1.91836734693878,1820,13,1.55916708044432,0
2,1.0,1726,1,100.0,0
277,1.64880952380952,1724,21,0.567308254633868,0
34,1.17241379310345,1447,9,4.12528647822765,0
51,1.82142857142857,1413,11,3.25693107232333,0
103,2.64102564102564,1362,11,1.40089643221193,0
8,1.33333333333333,1259,3,22.0588235294118,0
18,6.0,1251,3,13.4831460674157,0
68,1.78947368421053,1233,15,2.16445484160126,0
7,3.5,1165,3,25.7142857142857,0
11,5.5,1158,4,13.7592137592138,0
66,2.35714285714286,1147,17,2.13502242183074,0
14,2.8,1081,4,16.3265306122449,0
19,1.9,1067,3,26.7206477732794,0
39,1.69565217391304,1048,7,4.8122493620124,0
2,2.0,1009,1,100.0,0
43,2.26315789473684,1007,4,7.32657685416054,0
26,3.25,964,5,8.01137545952695,0
34,2.42857142857143,938,6,6.53312757619444,0
12,6.0,904,6,11.9047619047619,0
53,1.65625,892,12,2.45519947388583,0
9,1.125,839,2,49.3827160493827,0
29,2.07142857142857,830,5,10.5842328531228,0
42,2.47058823529412,801,11,3.81390657504886,0
34,3.4,759,7,5.25657071339174,0
47,2.76470588235294,725,9,3.33024976873266,0
0,0.0,678,0,0.0,0
158,5.64285714285714,12718,9,2.09458596935247,2
660,3.28358208955224,12560,29,0.295749811731615,2
0,0.0,11900,0,0.0,2
59,5.9,11900,8,3.62986560627284,2
172,4.52631578947368,11841,16,1.08925144873707,2
94,13.4285714285714,11669,9,2.6141892382543,2
90,6.92307692307692,11575,13,1.80590333105698,2
1214,4.00660066006601,11485,48,0.162292813307842,2
2,2.0,10271,1,100.0,2
41,1.20588235294118,10269,10,4.45145135862005,2
100,2.38095238095238,10228,13,2.21273913148898,2
56,3.73333333333333,10128,11,3.19837878320631,2
226,8.69230769230769,10072,13,1.34534061483978,2
882,3.7531914893617,9846,49,0.241631436921508,2
0,0.0,8964,0,0.0,2
117,3.65625,8964,15,1.61814320113852,2
50,3.33333333333333,8847,10,4.27070645554202,2
59,4.21428571428571,8797,8,3.22196900130503,2
18,9.0,8738,4,14.1093474426808,2
0,0.0,8720,0,0.0,2
121,1.21,3371,2,41.8004234683423,0
85,0.634328358208955,3250,3,2.91047525482009,0
132,1.40425531914894,3165,3,4.12397873168201,0
135,1.84931506849315,3033,2,7.13305898491084,0
64,1.93939393939394,2898,2,26.3671875,0
37,0.493333333333333,2834,2,10.2264426588751,0
159,3.53333333333333,2797,5,1.41238767334967,0
250,1.92307692307692,2638,4,0.777832402234637,0
98,0.640522875816993,2388,1,100.0,0
0,0.0,2290,0,0.0,0
45,0.115089514066496,719,3,8.59504132231405,0
6,0.428571428571429,674,3,22.2222222222222,0
17,0.186813186813187,668,5,11.0294117647059,0
4,0.173913043478261,651,2,37.5,0
15,1.875,647,7,8.61538461538462,0
0,0.0,632,0,0.0,0
1375,7.85714285714286,48781,30,0.22757072522836,1
745,3.94179894179894,47406,26,0.546748632259854,1
1778,6.04761904761905,46661,29,0.232471361393098,1
828,5.83098591549296,44883,18,0.657707560068265,1
0,0.0,44055,0,0.0,1
385,0.736137667304015,2082,32,0.41593421176747,0
28,1.55555555555556,33494,5,9.3016599885518,1
11,11.0,33466,2,29.7520661157025,1
270,3.17647058823529,33455,9,1.87481119311004,1
729,6.81308411214953,33185,7,1.80845812833367,1
754,7.32038834951456,32456,12,0.538320359794058,1
17,17.0,31702,3,33.0882352941176,1
1256,3.96214511041009,31685,18,0.188027518656417,1
0,0.0,30429,0,0.0,1
0,0.0,4847,0,0.0,0
0,0.0,4847,0,0.0,0
0,0.0,4847,0,0.0,0
0,0.0,4847,0,0.0,0
2,0.5,4847,1,100.0,0
6,1.5,4845,5,18.5185185185185,0
3,0.428571428571429,4839,3,33.3333333333333,0
0,0.0,4836,0,0.0,0
1,0.142857142857143,4836,1,100.0,0
0,0.0,4835,0,0.0,0
2,0.5,4835,2,50.0,0
0,0.0,4833,0,0.0,0
0,0.0,4833,0,0.0,0
0,0.0,4833,0,0.0,0
0,0.0,4833,0,0.0,0
3,0.75,4833,2,44.4444444444444,0
3,1.0,4830,2,44.4444444444444,0
4,1.0,4827,1,100.0,0
2,0.285714285714286,4823,2,50.0,0
1,0.333333333333333,4821,1,100.0,0
2,0.5,4820,1,100.0,0
1,0.333333333333333,4818,1,100.0,0
1,0.25,4817,1,100.0,0
1,1.0,4816,1,100.0,0
2,2.0,4815,2,50.0,0
0,0.0,4813,0,0.0,0
1,0.25,4813,1,100.0,0
3,1.0,4812,2,44.4444444444444,0
1,0.25,4809,1,100.0,0
2,2.0,4808,2,50.0,0
2,2.0,4806,1,100.0,0
0,0.0,4804,0,0.0,0
4,1.0,4804,3,30.0,0
2,0.666666666666667,4800,2,50.0,0
0,0.0,4798,0,0.0,0
2,1.0,4798,2,50.0,0
2,1.0,4796,2,50.0,0
0,0.0,4794,0,0.0,0
0,0.0,4794,0,0.0,0
0,0.0,4794,0,0.0,0
0,0.0,4794,0,0.0,0
2,0.666666666666667,4794,2,50.0,0
1,0.2,4792,1,100.0,0
1,0.5,4791,1,100.0,0
0,0.0,4790,0,0.0,0
0,0.0,4790,0,0.0,0
0,0.0,4790,0,0.0,0
6,1.0,4790,4,22.2222222222222,0
0,0.0,4784,0,0.0,0
0,0.0,4784,0,0.0,0
3,0.6,4784,2,44.4444444444444,0
0,0.0,4781,0,0.0,0
0,0.0,4781,0,0.0,0
0,0.0,4781,0,0.0,0
1,1.0,4781,1,100.0,0
3,0.5,4780,2,44.4444444444444,0
2,2.0,4777,1,100.0,0
0,0.0,4775,0,0.0,0
0,0.0,4775,0,0.0,0
0,0.0,4775,0,0.0,0
3,1.5,4775,2,44.4444444444444,0
0,0.0,4772,0,0.0,0
3,3.0,4772,3,33.3333333333333,0
2,0.5,4769,2,50.0,0
1,0.25,4767,1,100.0,0
2,0.666666666666667,4766,2,50.0,0
3,0.75,4764,3,33.3333333333333,0
1,0.333333333333333,4761,1,100.0,0
7,0.538461538461538,4760,4,17.5824175824176,0
1,0.125,4753,1,100.0,0
0,0.0,4752,0,0.0,0
2,1.0,4752,1,100.0,0
1,1.0,4750,1,100.0,0
1,0.25,4749,1,100.0,0
11,0.34375,4748,3,27.2727272727273,0
0,0.0,4737,0,0.0,0
1,0.333333333333333,4737,1,100.0,0
3,0.214285714285714,4736,2,44.4444444444444,0
1,0.333333333333333,4733,1,100.0,0
1,1.0,4732,1,100.0,0
1,1.0,4731,1,100.0,0
3,0.1875,4730,3,33.3333333333333,0
3,0.75,4727,2,44.4444444444444,0
0,0.0,4724,0,0.0,0
8,0.666666666666667,4724,3,17.3076923076923,0
2,0.666666666666667,4716,1,100.0,0
4,0.8,4714,3,30.0,0
3,3.0,4710,2,44.4444444444444,0
1,0.125,4707,1,100.0,0
1,0.25,4706,1,100.0,0
1,0.5,4705,1,100.0,0
4,0.666666666666667,4704,4,25.0,0
4,0.666666666666667,4700,1,100.0,0
2,0.285714285714286,4696,2,50.0,0
0,0.0,4694,0,0.0,0
5,1.25,4694,4,22.8571428571429,0
1,0.333333333333333,4689,1,100.0,0
5,1.25,4688,2,48.0,0
4,1.33333333333333,4683,3,30.0,0
6,1.5,4679,2,50.0,0
2,2.0,4673,2,50.0,0
0,0.0,4671,0,0.0,0
2,0.5,31323,2,50.0,1
257,3.29487179487179,31321,25,0.90425719322459,1
192,3.09677419354839,31064,24,1.2410178173533,1
148,4.11111111111111,30872,23,1.66940245526923,1
147,3.675,30724,25,1.38164255752301,1
249,3.66176470588235,30577,23,1.10763627410916,1
190,2.87878787878788,30328,26,1.21499853445774,1
207,2.27472527472527,30138,27,0.939116368364277,1
192,2.90909090909091,29931,24,1.1432320935136,1
226,3.64516129032258,29739,31,0.841397823375174,1
234,3.29577464788732,29513,23,0.950412715833402,1
220,3.49206349206349,29279,22,1.19789827912359,1
5,5.0,29059,2,48.0,1
0,0.0,29054,0,0.0,1
163,0.594890510948905,17500,15,0.904495477522612,2
78,1.5,17337,5,4.19471465952899,2
20,1.33333333333333,17259,5,10.3448275862069,2
296,1.67231638418079,17239,15,0.588719191440555,2
229,1.25136612021858,16943,18,0.661746496559909,2
30,1.76470588235294,16714,5,7.63187429854097,2
99,2.91176470588235,16684,9,2.80700015737186,2
0,0.0,16585,0,0.0,2
0,0.0,0,0,0.0,0
0,0.0,0,0,0.0,0
0,0.0,0,0,0.0,0
0,0.0,0,0,0.0,0
0,0.0,2148,0,0.0,0
16,5.33333333333333,2148,2,42.96875,0
0,0.0,2132,0,0.0,0
7,7.0,2132,1,100.0,0
0,0.0,2125,0,0.0,0
0,0.0,2125,0,0.0,0
8,4.0,2125,1,100.0,0
64,1.48837209302326,2117,3,8.21713147410359,0
12,1.33333333333333,2053,2,48.6111111111111,0
4,4.0,2041,2,37.5,0
17,1.54545454545455,2037,2,48.4429065743945,0
0,0.0,2020,0,0.0,0
0,0.0,2020,0,0.0,0
3,3.0,2020,1,100.0,0
12,12.0,2017,1,100.0,0
0,0.0,2005,0,0.0,0
0,0.0,2005,0,0.0,0
0,0.0,2005,0,0.0,0
0,0.0,2005,0,0.0,0
19,19.0,2005,2,26.5927977839335,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
0,0.0,1986,0,0.0,0
11,11.0,1986,1,100.0,0
0,0.0,1975,0,0.0,0
0,0.0,1975,0,0.0,0
3,1.5,1975,2,44.4444444444444,0
15,7.5,1972,3,15.2542372881356,0
0,0.0,1957,0,0.0,0
0,0.0,1957,0,0.0,0
3,3.0,1957,1,100.0,0
18,1.38461538461538,1954,3,22.1052631578947,0
0,0.0,1936,0,0.0,0
7,7.0,1936,2,24.4897959183673,0
9,3.0,1929,1,100.0,0
0,0.0,1920,0,0.0,0
12,1.71428571428571,1920,2,48.6111111111111,0
22,11.0,1908,2,29.7520661157025,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
0,0.0,1886,0,0.0,0
32,1.77777777777778,1886,2,49.8046875,0
0,0.0,1854,0,0.0,0
11,1.83333333333333,1854,4,13.7592137592138,0
10,0.833333333333333,1843,2,48.0,0
4,4.0,1833,1,100.0,0
9,9.0,1829,2,44.4444444444444,0
3,1.5,1820,1,100.0,0
67,1.97058823529412,1817,4,3.77062058130401,0
6,2.0,1750,2,44.4444444444444,0
11,5.5,1744,2,46.2809917355372,0
14,7.0,1733,2,48.9795918367347,0
0,0.0,1719,0,0.0,0
0,0.0,1719,0,0.0,0
16,2.0,1719,3,14.4230769230769,0
5,0.833333333333333,1703,2,48.0,0
16,4.0,1698,2,30.46875,0
0,0.0,1682,0,0.0,0
0,0.0,1682,0,0.0,0
0,0.0,1682,0,0.0,0
11,5.5,1682,2,39.6694214876033,0
11,11.0,1671,1,100.0,0
0,0.0,1660,0,0.0,0
0,0.0,1660,0,0.0,0
1,1.0,1660,1,100.0,0
24,4.0,1659,4,10.4166666666667,0
25,2.5,1635,4,11.2941176470588,0
0,0.0,1610,0,0.0,0
0,0.0,1610,0,0.0,0
0,0.0,1610,0,0.0,0
0,0.0,1610,0,0.0,0
8,2.0,1610,2,37.5,0
22,1.57142857142857,1602,3,27.2727272727273,0
4,4.0,1580,1,100.0,0
5,5.0,1576,2,32.0,0
2,2.0,1571,1,100.0,0
0,0.0,1569,0,0.0,0
